Segment#, Branch#, Distance(m), XCenter(m), YCenter(m), UTMZONE, BottomElev(m)
 55,  2,       34953.45,   473731.78641,  4660344.43248, 18,   316.520
 54,  2,       34378.84,   474289.70595,  4660424.16030, 18,   316.520
 53,  2,       33765.64,   474852.66161,  4660662.87363, 18,   319.520
 52,  2,       33113.25,   475178.34083,  4661144.56673, 18,   321.520
 51,  2,       32421.15,   475108.11854,  4661810.40291, 18,   322.520
 50,  2,       31679.20,   475326.99502,  4662333.51450, 18,   324.520
 49,  2,       30980.45,   475972.43499,  4662533.93625, 18,   326.520
 48,  2,       30366.80,   476521.11698,  4662726.01735, 18,   327.520
 47,  2,       29636.35,   477101.98773,  4662662.58422, 18,   328.520
 46,  2,       28941.55,   477530.56961,  4662151.59762, 18,   329.520
 45,  2,       28462.85,   477710.00022,  4661708.38012, 18,   330.520
 44,  2,       28004.55,   477839.70613,  4661273.14967, 18,   331.520
 43,  2,       27495.10,   477986.99266,  4660789.70890, 18,   331.520
 42,  2,       26994.40,   478243.62866,  4660364.26168, 18,   332.520
 41,  2,       26470.95,   478611.41105,  4660348.71230, 18,   332.520
 40,  2,       25892.40,   478979.39220,  4660783.39185, 18,   333.520
 39,  2,       25226.45,   479442.61989,  4660848.75415, 18,   334.520
 38,  2,       24508.10,   479961.43712,  4660371.28630, 18,   335.520
 37,  2,       23791.50,   480459.15063,  4659866.23310, 18,   337.520
 36,  2,       22916.60,   481256.22066,  4659705.13319, 18,   338.520
 35,  2,       21863.25,   482306.09262,  4659764.51175, 18,   340.520
 34,  2,       21027.50,   483025.03360,  4659998.45756, 18,   341.520
 33,  2,       20392.90,   483104.99239,  4660560.41248, 18,   343.520
 32,  2,       19681.20,   483124.54713,  4661239.76027, 18,   344.520
 31,  2,       18792.10,   483639.99367,  4661922.35452, 18,   345.520
 30,  2,       17839.75,   484387.31394,  4662512.16373, 18,   347.520
 29,  2,       16952.20,   485051.12884,  4663096.97469, 18,   348.520
 28,  2,       16131.65,   485464.72042,  4663776.20011, 18,   349.520
 Error processing coordinates. Preprocessing continuing. No connection for JB,NN
 BR,JJB:           1           1           1
