$bth_SHA.csv                                                         ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Seg#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
    DLX,0,352,372.2,668.1,860.4,945.7,617.3,622.4,718.6,634.2,756.3,810.3,500.9,495.8,687.8,625,464.5,759.1,749.9,769.7,901.2,778.3,551.8,633.1,490.8,0,0,732.5,908.6,866.5,1038.2,740,683.4,585.8,1085.7,1021,728.8,704.4,732.3,599.6,557.5,489.4,512,506.9,409.7,547.7,841.9,619,608.3,789.2,694.7,689.5,615.3,611.1,538.1,0
   ELWS,342.9,342.9,342.9,342.9,342.9,342.9,342.9,342.9,342.9,342.9,342.9,342.9,342.9,342.9,342.9,342.9,342.9,342.9,342.9,342.9,342.9,342.9,342.9,342.9,342.9,342.9,342.9,342.9,342.9,342.9,342.9,342.9,342.9,342.9,342.9,342.9,342.9,342.9,342.9,342.9,342.9,342.9,342.9,342.9,342.9,342.9,342.9,342.9,342.9,342.9,342.9,342.9,342.9,342.9,342.9,342.9
   PHI0,0,0.307,0.057,0.674,6.261,0.051,0.905,1.221,0.585,0.166,0.175,0.535,0.165,0.294,0.212,0.686,0.529,0.956,1.475,2.153,2.166,0.211,0.326,0.339,0.699,0,0,0.269,0.77,0.931,0.879,0.318,5.998,0.645,1.571,1.454,2.221,2.511,2.126,0.532,0.886,2.472,2.72,2.973,2.702,2.798,2.216,0.911,1.563,1.045,5.923,0.152,1.095,1.245,1.638,0
   FRIC,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
 LAYERH,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,161.9,231.4,253.3,403.8,335.1,388.6,351.4,498.2,483.5,532.2,577.3,630.1,737,1030.1,1278.3,1144.6,1710.4,1077.5,790.3,670.6,919.1,729.1,584.8,775.9,0,0,86.2,179.7,311.2,155.5,232.6,179.9,214.7,189.9,173.3,185.9,138.6,253,316.9,440.3,278.3,309.1,390.1,527,777,1085.5,1153,1003.3,1025,770.4,642.8,781.7,564.1,514.7,0
1,0,35.9,140.7,218.1,394.6,327.2,378.4,336.6,481.1,477.9,526.3,571.9,623.4,728.5,1018.8,1266.5,1135.9,1683.6,1068.7,782.3,659.4,913.4,725.4,578.2,758.8,0,0,40,99.5,154.8,146.7,190.2,153.1,201.4,179,164.5,177.4,134.4,238.2,278.8,421.5,271.3,299.4,369,517.4,756.7,1039.9,1126,991.6,1009.2,760,632.7,772.9,558,505.7,0
1,0,0,64,184.6,385.3,319,369.1,323.1,465.4,471.4,518.6,565.8,615.5,718.5,1008.3,1254.3,1125.4,1656.8,1059.1,774.9,648.7,907,721.2,572.1,747,0,0,0,59.8,94.4,135.6,161.3,133.8,191,167.5,156.8,171.5,131,225.1,242.3,402.8,264.6,290.5,352.9,505.6,741.9,1001.3,1101.6,979.4,992.2,750,621.8,762.6,551.9,495.7,0
1,0,0,24.5,148.1,375.7,311.2,359.6,312.6,449.3,463.6,511.4,559.5,607.5,708.9,997.9,1242.9,1115.2,1630.8,1049.2,767,637.8,901.2,716.9,565.7,733.3,0,0,0,0,84.1,104,107.1,113.7,167.4,157.1,151.1,166.2,127.3,212.6,198.5,384.4,258,281.6,340.3,495.8,729.6,965.3,1077.3,965.7,975.1,739.2,611.3,752.9,545,486.2,0
