date,tmmx_water_cannonsville,tmmn_water_cannonsville,tavg_water_cannonsville,discharge_cannonsville,tmmx_water_cannonsville_src,tmmn_water_cannonsville_src,tavg_water_cannonsville_src,discharge_cannonsville_src
10/1/1963,19.5,13.5,,38.7792,obs,obs,linear_interpolation,obs
10/2/1963,18.5,16,,34.90128,obs,obs,linear_interpolation,obs
10/3/1963,17,14.5,,8.40216,obs,obs,linear_interpolation,obs
10/4/1963,17,14,,20.03592,obs,obs,linear_interpolation,obs
10/5/1963,19.5,13,,16.80432,obs,obs,linear_interpolation,obs
10/6/1963,20,13,,15.51168,obs,obs,linear_interpolation,obs
10/7/1963,20,14,,14.86536,obs,obs,linear_interpolation,obs
10/8/1963,18,16,,13.57272,obs,obs,linear_interpolation,obs
10/9/1963,16.5,14,,11.63376,obs,obs,linear_interpolation,obs
10/10/1963,16.5,14.5,,16.158,obs,obs,linear_interpolation,obs
10/11/1963,16.5,14.5,,19.3896,obs,obs,linear_interpolation,obs
10/12/1963,16.5,15,,18.74328,obs,obs,linear_interpolation,obs
10/13/1963,16.5,13.5,,16.158,obs,obs,linear_interpolation,obs
10/14/1963,17,13.5,,14.21904,obs,obs,linear_interpolation,obs
10/15/1963,17,13.5,,16.80432,obs,obs,linear_interpolation,obs
10/16/1963,17,13,,12.28008,obs,obs,linear_interpolation,obs
10/17/1963,16,13,,10.98744,obs,obs,linear_interpolation,obs
10/18/1963,18,14.5,,9.04848,obs,obs,linear_interpolation,obs
10/19/1963,20,13.5,,12.926400000000001,obs,obs,linear_interpolation,obs
10/20/1963,16.5,14.5,,7.10952,obs,obs,linear_interpolation,obs
10/21/1963,16,15.5,,9.6948,obs,obs,linear_interpolation,obs
10/22/1963,17,14,,20.68224,obs,obs,linear_interpolation,obs
10/23/1963,18.5,14,,14.21904,obs,obs,linear_interpolation,obs
10/24/1963,18.5,14.5,,14.21904,obs,obs,linear_interpolation,obs
10/25/1963,19.5,14,,14.21904,obs,obs,linear_interpolation,obs
10/26/1963,19,14,,14.21904,obs,obs,linear_interpolation,obs
10/27/1963,18.5,15,,14.21904,obs,obs,linear_interpolation,obs
10/28/1963,16.5,15,,15.51168,obs,obs,linear_interpolation,obs
10/29/1963,15,13,,17.45064,obs,obs,linear_interpolation,obs
10/30/1963,13,11.5,,31.66968,obs,obs,linear_interpolation,obs
10/31/1963,13,11.5,,31.02336,obs,obs,linear_interpolation,obs
11/1/1963,13,13,,31.02336,obs,obs,linear_interpolation,obs
11/2/1963,13,11,,31.02336,obs,obs,linear_interpolation,obs
11/3/1963,11,10,,29.73072,obs,obs,linear_interpolation,obs
11/4/1963,11.5,10,,31.02336,obs,obs,linear_interpolation,obs
11/5/1963,11,10,,31.02336,obs,obs,linear_interpolation,obs
11/6/1963,10,10,,31.66968,obs,obs,linear_interpolation,obs
11/7/1963,10.5,10,,33.60864,obs,obs,linear_interpolation,obs
11/8/1963,10.5,10,,48.474000000000004,obs,obs,linear_interpolation,obs
11/9/1963,10,10,,80.14368,obs,obs,linear_interpolation,obs
11/10/1963,10.5,10,,179.03064,obs,obs,linear_interpolation,obs
11/11/1963,11,10.5,,256.58904,obs,obs,linear_interpolation,obs
11/12/1963,10.5,10.5,,155.1168,obs,obs,linear_interpolation,obs
11/13/1963,10.5,10.5,,80.14368,obs,obs,linear_interpolation,obs
11/14/1963,10.5,9,,80.14368,obs,obs,linear_interpolation,obs
11/15/1963,9,9,,80.14368,obs,obs,linear_interpolation,obs
11/16/1963,9,8.5,,80.14368,obs,obs,linear_interpolation,obs
11/17/1963,8.5,8,,77.5584,obs,obs,linear_interpolation,obs
11/18/1963,8,7,,80.14368,obs,obs,linear_interpolation,obs
11/19/1963,8,7,,80.14368,obs,obs,linear_interpolation,obs
11/20/1963,8,6.5,,80.14368,obs,obs,linear_interpolation,obs
11/21/1963,7,6.5,,82.08264,obs,obs,linear_interpolation,obs
11/22/1963,8,6.5,,82.08264,obs,obs,linear_interpolation,obs
11/23/1963,8,7,,82.08264,obs,obs,linear_interpolation,obs
11/24/1963,7,6,,77.5584,obs,obs,linear_interpolation,obs
11/25/1963,6,5.5,,80.14368,obs,obs,linear_interpolation,obs
11/26/1963,6,6,,140.89776,obs,obs,linear_interpolation,obs
11/27/1963,6,5,,235.26048,obs,obs,linear_interpolation,obs
11/28/1963,5,5,,164.8116,obs,obs,linear_interpolation,obs
11/29/1963,5,4.5,,161.58,obs,obs,linear_interpolation,obs
11/30/1963,4.5,4.5,,164.8116,obs,obs,linear_interpolation,obs
12/1/1963,4.5,4.5,,164.8116,obs,obs,linear_interpolation,obs
12/2/1963,4.5,2,,219.7488,obs,obs,linear_interpolation,obs
12/3/1963,2,2,,279.21024,obs,obs,linear_interpolation,obs
