JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,ICETH(m),Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),     MAC,
 28782.000,  2636.681,   342.896,     3.000,     0.003,     0.000,     0.000,     0.250,    36.376,   669.700,     1.000,     0.000,     3.000,  -106.582,     0.000,   236.517,   320.429,    23.751,    -1.081,     0.000,         0.000,
 28783.000,   750.210,   342.837,     3.091,     0.003,     0.000,     0.000,     0.250,    36.317,   669.700,     1.000,     0.000,     3.091,    23.049,     0.000,   292.557,   320.852,    -7.466,   -43.877,     0.000,         0.000,
 28784.000,   563.843,   342.771,     2.952,     0.002,     0.000,     0.000,     0.250,    36.251,   669.700,     1.000,     0.000,     3.113,   -67.807,     0.000,   268.785,   319.767,    21.876,    -5.052,     0.000,         0.000,
 28785.000,   601.350,   342.693,     3.075,     0.003,     0.000,     0.000,     0.250,    36.173,   669.700,     1.000,     0.000,     3.065,   -84.061,     0.000,   259.325,   319.145,    20.854,     3.387,     0.000,         0.000,
 28786.000,   449.809,   342.597,     3.189,     0.003,     0.000,     0.000,     0.250,    36.077,   669.700,     1.000,     0.000,     3.183,   -46.543,     0.000,   266.833,   320.742,    10.972,   -18.338,     0.000,         0.000,
 28787.000,   504.196,   342.492,     3.258,     0.003,     0.000,     0.000,     0.250,    35.972,   657.400,     1.000,     0.000,     3.249,   -42.462,     0.000,   274.516,   320.607,     9.105,   -12.733,     0.000,         0.000,
 28788.000,   238.175,   342.381,     3.090,     0.003,     0.000,     0.000,     0.250,    35.861,   657.400,     1.000,     0.000,     3.197,   -83.308,     0.000,   258.817,   319.738,    18.691,     3.696,     0.000,         0.000,
 28789.000,   729.919,   342.259,     3.078,     0.003,     0.000,     0.000,     0.250,    35.739,   657.400,     1.000,     0.000,     3.166,   -88.856,     0.000,   255.719,   318.964,    18.773,     6.837,     0.000,         0.000,
 28790.000,   791.700,   342.154,     3.113,     0.003,     0.000,     0.000,     0.250,    35.634,   657.400,     1.000,     0.000,     3.180,   -62.840,     0.000,   271.787,   319.231,    15.044,     0.353,     0.000,         0.000,
 28791.000,   191.874,   342.116,     3.129,     0.003,     0.000,     0.000,     0.250,    35.596,   657.400,     1.000,     0.000,     3.165,   -42.642,     0.000,   277.472,   320.202,     2.758,    -2.846,     0.000,         0.000,
 28792.000,  1533.242,   342.113,     3.213,     0.003,     0.000,     0.000,     0.250,    35.593,   657.400,     1.000,     0.000,     3.212,   -23.725,     0.000,   280.609,   320.839,    -3.764,   -12.740,     0.000,         0.000,
 28793.000,   444.582,   342.092,     3.314,     0.003,     0.000,     0.000,     0.250,    35.572,   657.400,     1.000,     0.000,     3.304,   -78.036,     0.000,   249.365,   319.517,    17.199,    -9.315,     0.000,         0.000,
 28794.000,   473.757,   342.061,     3.419,     0.003,     0.000,     0.000,     0.250,    35.541,   657.400,     1.000,     0.000,     3.413,   -78.568,     0.000,   246.206,   321.313,    13.265,    -9.804,     0.000,         0.000,
 28795.000,  1211.611,   342.022,     3.529,     0.003,     0.000,     0.000,     0.250,    35.502,   657.400,     1.000,     0.000,     3.529,    62.583,     0.000,   319.334,   322.885,   -30.788,   -35.346,     0.000,         0.000,
 28796.000,   949.059,   342.032,     3.701,     0.003,     0.000,     0.000,     0.250,    35.512,   657.400,     1.000,     0.000,     3.701,   138.430,     0.000,   336.345,   323.693,   -65.205,   -60.572,     0.000,         0.000,
 28797.000,   804.880,   342.193,     3.844,     0.003,     0.000,     0.000,     0.250,    35.673,   657.400,     1.000,     0.000,     3.844,    14.415,     0.000,   295.210,   324.364,   -17.132,   -26.437,     0.000,         0.000,
 28798.000,   718.598,   342.418,     3.886,     0.003,     0.000,     0.000,     0.250,    35.898,   657.400,     1.000,     0.000,     3.877,   -73.113,     0.000,   267.564,   322.723,    21.013,    -3.059,     0.000,         0.000,
 28799.000,   778.886,   342.571,     3.958,     0.003,     0.000,     0.000,     0.250,    36.051,   669.700,     1.000,     0.000,     3.952,   -49.547,     0.000,   282.634,   324.349,    15.428,    -7.597,     0.000,         0.000,
 28800.000,   422.054,   342.716,     3.985,     0.003,     0.000,     0.000,     0.250,    36.196,   669.700,     1.000,     0.000,     3.983,     7.371,     0.000,   292.525,   325.066,   -17.740,   -22.171,     0.000,         0.000,
